image_name,caption,reference,img_path,label
img100,"A) Temperature as a function of time (seconds) showing the total layers monitored, and B) profile of temperature vs time for a single layer.","Using the setup described in the experimental section , the FMPI was used to capture measurements during the deposition of consecutive layers. Fig. 1 shows the plot of temperature (in degrees °C) versus time (seconds) for the entire duration of the experiment. || Also, as shown in Fig. 1 B) the preheat phase is characterized by two sub-phases, one of them with values that oscillate in an approximate range from ∼930 to ∼1050 °C and spans for about 5 s while the second sub-phase raises temperature in the range from ∼960 to 1085 °C and lasts ∼7 s.",selected_images/img100.jpg,"[{""x"":2.547531828595703,""y"":49.50099800399202,""width"":89.39520780344921,""height"":46.90618762475048,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2246,""original_height"":2606},{""x"":3.242313236394538,""y"":1.3972055888223553,""width"":89.39520780344925,""height"":47.50499001996006,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2246,""original_height"":2606}]"
img1004,"Thermal analysis: results from TGA characterization relevant to a) thermograms of weight variation ( %) vs temperature ( °C), b) onset degradation temperature (T onset , °C), and residual weight at 700 °C (Residue, %) of the developed scaffolds (data reported as mean ± standard deviation indicated with error bars, n = 3; * the pairs of values marked with this symbol are significantly different, p < 0.05; ° ,+ the values marked with these symbols are significantly different from all the others relevant to the same parameters, p < 0.05); results from DSC characterization relevant to c) thermograms of heat flow (W/g) vs temperature ( °C) and d) glass transition temperature (T g , °C) values obtained from 1st and 2nd heating scans of the developed scaffolds (data reported as mean ± standard deviation indicated with error bars, n = 3).","Two weight loss phenomena were observed in the TGA thermograms of the polymeric scaffolds investigated ( Fig. 5 a) . || However, when the scaffold was loaded with HA, the onset temperature (T onset ) ( Fig. 5 b ) and the temperature of maximum rate of degradation (T peak ) ( Fig. S7b , Supplementary Material) were significantly reduced. || In addition, a significant increase in residual weight was observed at the end of the analysis in the case of HA loading or a 10 % β-TCP concentration ( Fig. 5 b ). || The DSC thermograms of all the tested polymeric samples showed an inflection point in the range of 170–190 °C due to the polymer glass transition ( Fig. 5 c ).",selected_images/img1004.jpg,"[{""x"":0.510002916302129,""y"":0.5925925925925926,""width"":48.96027996500438,""height"":48.888888888888886,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3175,""original_height"":2186},{""x"":50.18428696412948,""y"":0.7407407407407403,""width"":49.674284047827385,""height"":49.77777777777778,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3175,""original_height"":2186},{""x"":0.30600174978127737,""y"":50.8148148148148,""width"":48.858279381743955,""height"":48.59259259259257,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3175,""original_height"":2186},{""x"":49.77628463108781,""y"":51.11111111111111,""width"":49.917713619130936,""height"":48.88888888888888,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3175,""original_height"":2186}]"
img1005,"Mechanical characterization: tensile a) stress (MPa)-strain ( %) curves, b) modulus (E T , MPa), and strength (σ T-max , MPa) of the scaffolds (data reported as mean ± standard deviation indicated as error bars, n = 5; * pairs of values marked with this symbol are significantly different, p < 0.05); compression c) stress (MPa)-strain ( %) curves, b) modulus (E C , MPa), and stress at 30 % strain (σ C-30 , MPa) of the scaffolds (data reported as mean ± standard deviation indicated with error bars, n = 5; * pairs of values marked with this symbol are significantly different, p < 0.05; ° the value marked with this symbol is significantly different from all the others relevant to the same parameter, p < 0.05).","T g values recorded during the first or second heating scan were not significantly influenced by HA and β-TCP loading ( Fig. 6 d ). || The tensile stress-strain curves of PSU and composite scaffolds show three regions ( Fig. 6 a ). || In particular, the statistical analysis revealed that the PSU-TCP10 scaffold had a maximum tensile stress (σ T-max ) significantly lower than the PSU and PSU-TCP5 scaffolds ( Fig. 6 b ). || Compression curves of all tested samples were characterized by a first roughly linear region likely due to the elastic deformation of fiber-fiber contact points and micropore walls ( Fig. 6 c ). || HA loading at a concentration of 10 % wt caused a significant increase in compressive modulus (E C ) compared to the case of β-TCP loading ( Fig. 6 d ).",selected_images/img1005.jpg,"[{""x"":0.8171245261009041,""y"":0.8888888888888888,""width"":48.41462817147857,""height"":48.44444444444445,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3175,""original_height"":2189},{""x"":50.04887722368038,""y"":0.8888888888888888,""width"":49.23175269757948,""height"":48.44444444444445,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3175,""original_height"":2189},{""x"":0.510702828813065,""y"":50.2222222222222,""width"":48.823190434529025,""height"":48.592592592592545,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3175,""original_height"":2189},{""x"":50.45743948673083,""y"":50.81481481481481,""width"":48.72104986876641,""height"":48.14814814814815,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3175,""original_height"":2189}]"
img1026,"Graphic illustration of FDM methodology, inkjet-based 3D printing process [ 167 ], SLA technique, and DLP methodology [ 168 ]. With permission, Copyright 2020, Elsevier and under the Licence CC BY 4.0, 2021, Wiley.","( Fig. 3 ) These can be broadly classified into extrusion-based processes, which include FDM and DIW, and vat-photopolymerization (VP)-based technologies, which include DLP and SLA [ 140 , 141 ].",selected_images/img1026.jpg,"[{""x"":0,""y"":0,""width"":49.55967817009112,""height"":41.77777777777775,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3342,""original_height"":2518},{""x"":51.0107498282244,""y"":0.2962962962962963,""width"":48.9892501717756,""height"":42.370370370370374,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3342,""original_height"":2518},{""x"":0.2232417935589689,""y"":44.148148148148145,""width"":50.34102444754749,""height"":55.851851851851855,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3342,""original_height"":2518},{""x"":51.345612518562845,""y"":44,""width"":48.65438748143715,""height"":56.00000000000001,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3342,""original_height"":2518}]"
img1029,"(a) Stress–strain curves; (b) Tensile ductility; (c) Dimensional stability; (d–f) SEM images of fracture surfaces for PLLA and PCP composites [ 171 ], with permission, Copyright 2022, Elsevier .","Shariatnia et al.’s CNC spraying technique improved interlayer shear strength by 44 % [ 170 ], while Wu et al.’s modified CNCs enhanced fusion bonding strength by 103 % [ 171 ] ( Fig. 6 ).",selected_images/img1029.jpg,"[{""x"":0.07836990595611175,""y"":0.4847234282023342,""width"":32.445141065830725,""height"":48.63391729630116,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3342,""original_height"":1621},{""x"":32.83699059561129,""y"":0.48472342820233644,""width"":32.75862068965517,""height"":47.82604491596386,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3342,""original_height"":1621},{""x"":66.06583072100314,""y"":0.1615744760674455,""width"":33.69905956112852,""height"":48.310768344166206,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3342,""original_height"":1621},{""x"":3.2915360501567394,""y"":50.73438548517778,""width"":30.250783699059525,""height"":49.26561451482206,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3342,""original_height"":1621},{""x"":34.95297805642633,""y"":49.764938628773216,""width"":29.623824451410655,""height"":48.95706624843597,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":3342,""original_height"":1621},{""x"":66.22257053291536,""y"":49.44178967663832,""width"":31.42633228840127,""height"":50.55821032336168,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":3342,""original_height"":1621}]"
img1034,"Rheological behavior of aqueous inks with varying CNC and CCNC concentrations: (a,d) Shear viscosity; (b,e) Oscillatory shear measurements; (c) Initial storage modulus (G’₀) vs. filler content; (f) Yield stress vs. filler content [ 157 ], under the Licence CC BY 4.0, 2021, MDPI .","As CNC concentration increases, viscosity, storage modulus, and yield stress all rise, thereby improving shape fidelity ( Fig. 11 ).",selected_images/img1034.jpg,"[{""x"":0.3134796238244514,""y"":0,""width"":32.60188087774295,""height"":49.57937115358405,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3342,""original_height"":1495},{""x"":33.69905956112852,""y"":0.8759606210880573,""width"":32.915360501567406,""height"":49.40417902936644,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3342,""original_height"":1495},{""x"":67.0846394984326,""y"":1.0511527453056693,""width"":32.91536050156738,""height"":49.404179029366446,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3342,""original_height"":1495},{""x"":0.3134796238244514,""y"":50.10494752623684,""width"":33.22884012539185,""height"":49.89505247376313,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3342,""original_height"":1495},{""x"":33.855799373040746,""y"":50.80571602310734,""width"":32.680250783699066,""height"":49.19428397689264,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":3342,""original_height"":1495},{""x"":66.69278996865204,""y"":50.280139650454494,""width"":33.307210031347964,""height"":49.719860349545506,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":3342,""original_height"":1495}]"
img1035,"CNC alignment in solution-cast films and 3D-printed structures: (a) SEM image of filaments; (b) AFM image showing CNC alignment; (c,e,f) 2D-WAXS azimuthal intensity plots for (c) solution-cast film, (e) printed axial section, and (f) printed cross-section; (d) Optical micrograph displaying beam spots (scale bar: 200 μm) [ 154 ], with permission, Copyright 2017, Elsevier .","Notably, it has been reported that during the DIW process, shear stresses align CNC particles along the printing direction [ 154 , 180–182 ], resulting in final structures that exhibit mechanical anisotropy, with greater stiffness along the printing axis ( Fig. 12 ) [ 154 ].",selected_images/img1035.jpg,"[{""x"":3.95956377027123,""y"":1.1851851851851851,""width"":46.13752567098646,""height"":30.666666666666664,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2092,""original_height"":2431},{""x"":51.13001912045889,""y"":0.5925925925925926,""width"":48.86998087954109,""height"":32.000000000000014,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2092,""original_height"":2431},{""x"":0.3443098930670633,""y"":32.44444444444447,""width"":46.826145457120596,""height"":33.48148148148146,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2092,""original_height"":2431},{""x"":49.580624601657114,""y"":33.48148148148148,""width"":50.419375398342886,""height"":33.03703703703704,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":2092,""original_height"":2431},{""x"":0.516464839600595,""y"":67.11111111111111,""width"":47.8590751363218,""height"":32.888888888888886,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":2092,""original_height"":2431},{""x"":52.85156858579422,""y"":67.11111111111109,""width"":47.14843141420575,""height"":32.740740740740726,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":2092,""original_height"":2431}]"
img1037,"3D-printed cellular structures of PUA–HEMA with 15 wt % CNC–DR1: (a) Compression tests of hexagonal honeycombs in the dark and under selective illumination; (b) Deformation images at various strains; (c,d) Compression tests of negative stiffness structures with different illumination profiles; (e) Deformation under compression; (f) Shape memory effect after 5 min illumination [ 156 ], under the Licence CC BY 4.0, 2022, American Chemical Society .",Muller et al. presented a representative example of imparting dynamic functionality to CNC-based 3D printing ( Fig. 14 ) [ 156 ].,selected_images/img1037.jpg,"[{""x"":1.6789069171648165,""y"":0.2962962962962963,""width"":48.87484581079799,""height"":32.74074074074074,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2342,""original_height"":2949},{""x"":51.29993358003606,""y"":1.037037037037037,""width"":47.382484106651496,""height"":31.407407407407405,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2342,""original_height"":2949},{""x"":1.1192712781098777,""y"":34.66666666666667,""width"":48.68830059777968,""height"":31.555555555555557,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2342,""original_height"":2949},{""x"":50.740297940981115,""y"":33.48148148148148,""width"":49.06139102381632,""height"":33.48148148148148,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":2342,""original_height"":2949},{""x"":2.2385425562197554,""y"":66.81481481481481,""width"":96.25732991744948,""height"":14.370370370370367,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":2342,""original_height"":2949},{""x"":1.3058164911281906,""y"":82.96296296296296,""width"":98.69418350887182,""height"":17.037037037037038,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":2342,""original_height"":2949}]"
img1040,"Mechanical and thermal properties of DLP-printed CNC composites: (a) DMA tensile data for varying CNC contents, Young’s modulus (black), strain at break (blue), ultimate strength (red); (b) Storage modulus (dashed) and tan δ (solid) as a function of temperature; (c) Tg vs. CNC content; (d) Halpin–Tsai model fitting of Young’s modulus for all (black) and low (red) CNC contents [ 28 ], with permission, Copyright 2019, Elsevier .","As with other printing methods, the use of VP has shown that CNCs can induce significant changes in the mechanical, thermal, and optical properties of 3D‐printed composites ( Fig. 17 ). || Due to their high intrinsic stiffness, CNC particles substantially increase the Young’s modulus of polymer matrices [ 28 ] ( Fig. 17 ).",selected_images/img1040.jpg,"[{""x"":0.24524216524216524,""y"":0.2962962962962963,""width"":50.27464387464387,""height"":49.925925925925924,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2925,""original_height"":2421},{""x"":51.255612535612535,""y"":0.4444444444444444,""width"":48.744387464387465,""height"":50.51851851851852,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2925,""original_height"":2421},{""x"":0.6131054131054131,""y"":51.55555555555556,""width"":48.80319088319088,""height"":48.44444444444444,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2925,""original_height"":2421},{""x"":51.378233618233615,""y"":52,""width"":48.62176638176635,""height"":47.99999999999999,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":2925,""original_height"":2421}]"
img1041,"Thermally induced shape memory behavior of CTFA and A-CNC/CTFA composites: (a) Shape recovery at 40 °C; (b) Recovery ratio as a function of time; (c) Recovery ratio over multiple cycles; (d) Stent model, original, deformed, and recovered states; (e) Stent expansion in a constricted vessel; (f) Gripper model, original, deformed, and recovered states; (g) Gripper lifting an object [ 166 ], under the Licence CC BY 4.0, 2018, Elsevier .",This functionality suggests potential applications in self‐expanding stents and temperature‐responsive sensors.( Fig. 18 ).,selected_images/img1041.jpg,"[{""x"":0.5264105226722049,""y"":0.14814814814814814,""width"":55.694233298719276,""height"":29.77777777777778,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2675,""original_height"":1901},{""x"":56.641772239529246,""y"":1.0370370370370365,""width"":20.00359986154378,""height"":29.037037037037038,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2675,""original_height"":1901},{""x"":77.592911041883,""y"":1.4814814814814816,""width"":22.407088958117,""height"":30.074074074074073,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2675,""original_height"":1901},{""x"":0,""y"":31.25925925925927,""width"":69.59147109726548,""height"":34.37037037037038,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":2675,""original_height"":1901},{""x"":70.01259951540325,""y"":31.851851851851855,""width"":29.987400484596748,""height"":33.18518518518518,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":2675,""original_height"":1901},{""x"":0.5264105226722048,""y"":66.22222222222224,""width"":68.22280373831775,""height"":32.888888888888864,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":2675,""original_height"":1901},{""x"":69.27562478366217,""y"":66.22222222222223,""width"":30.724375216337833,""height"":33.77777777777777,""rotation"":0,""rectanglelabels"":[""G""],""original_width"":2675,""original_height"":1901}]"
